ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,location,house,garage,basement,age_at_sale,remod_age_at_sale,log_saleprice,log_gr_liv_area,log_lot_area,log_1st_flr_sf
2,2,0.0,13517,2,Lvl,2,1,1,2,2,6,8,1976,2005,Gable,1,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,1,2,533.0,Unf,0.0,192.0,725.0,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0,0.0,2,1976.0,2,2.0,475.0,3.0,0,44,0,0,0,0,0,0,3,2010,WD ,130500,6,7,12.0,9.0,34,5,11.779128505744886,7.2991214627108,9.511703431483827,6.586171654854675
2,2,43.0,11492,2,Lvl,2,2,2,2,2,7,5,1996,1997,Gable,2,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,1,2,637.0,Unf,0.0,276.0,913.0,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,1,3.0,2,1997.0,2,2.0,559.0,3.0,0,74,0,0,0,0,0,0,4,2009,WD ,220000,8,8,12.0,10.0,13,12,12.301382825334498,7.660114319173928,9.34940642009918,6.816735880594968
2,2,68.0,7922,1,Lvl,1,1,2,2,1,5,7,1953,2007,Gable,2,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1,2,731.0,Unf,0.0,326.0,1057.0,3,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0,0.0,1,1953.0,1,1.0,246.0,3.0,0,52,0,0,0,0,0,0,1,2010,WD ,109000,6,7,3.0,9.0,57,3,11.59910316121128,6.963189985870238,8.977398978181862,6.963189985870238
2,2,73.0,9802,1,Lvl,1,2,2,2,2,5,5,2006,2007,Gable,2,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,384.0,384.0,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,0.0,2,2007.0,2,2.0,400.0,3.0,100,0,0,0,0,0,0,0,4,2010,WD ,174000,7,8,12.0,9.0,4,3,12.066810578196666,7.275172319452771,9.190341725469493,6.612041034833092
1,2,82.0,14235,2,Lvl,1,2,2,2,1,6,8,1900,1993,Gable,1,Plywood,None,0.0,3,3,PConc,2.0,4.0,1,1,0.0,Unf,0.0,676.0,676.0,3,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0,0.0,1,1957.0,1,2.0,484.0,3.0,0,59,0,0,0,0,0,0,3,2010,WD ,138500,7,5,3.0,8.0,110,17,11.83862560460953,7.275864600546533,9.563458999712138,6.7226297948554485
2,2,137.0,16492,2,Lvl,2,1,2,2,1,6,6,1966,2002,Gable,2,Plywood,None,0.0,4,3,CBlock,3.0,3.0,1,1,247.0,Rec,713.0,557.0,1517.0,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,1,4.0,2,1966.0,2,2.0,578.0,3.0,0,0,0,0,0,0,0,0,6,2010,WD ,190000,7,7,12.0,8.0,44,8,12.154779351142624,7.543273346705446,9.71063069382679,7.543273346705446
1,1,35.0,3675,1,Lvl,1,1,2,2,1,6,5,2005,2006,Gable,2,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,2,2,547.0,Unf,0.0,0.0,547.0,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0,0.0,1,2005.0,2,2.0,525.0,3.0,0,44,0,0,0,0,0,0,6,2006,New,140000,5,6,6.0,11.0,1,0,11.84939770159144,6.977281341630747,8.209308411646937,6.977281341630747
2,2,0.0,12160,2,Lvl,1,1,2,2,1,5,5,1959,1959,Hip,1,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,1,1,1000.0,Unf,0.0,188.0,1188.0,2,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0,0.0,2,1959.0,2,2.0,531.0,3.0,0,0,0,0,0,0,MnPrv,0,5,2010,COD,142000,6,6,12.0,8.0,51,51,11.863582336583399,7.080026499922591,9.405907155520158,7.080026499922591
2,2,0.0,15783,1,Lvl,1,1,1,2,1,5,5,1952,1952,Gable,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1,1,292.0,Unf,0.0,632.0,924.0,3,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0,0.0,1,1952.0,1,1.0,420.0,3.0,0,324,0,0,0,0,MnPrv,400,6,2007,WD ,112500,5,6,3.0,8.0,55,55,11.630708500626612,6.828712071641684,9.666688690398917,6.828712071641684
2,2,70.0,11606,2,HLS,1,1,2,2,2,5,5,1969,1969,Gable,1,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,2,1,650.0,Unf,0.0,390.0,1040.0,3,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,2,3.0,2,1969.0,1,2.0,504.0,3.0,335,0,0,0,0,0,0,0,9,2007,WD ,135000,6,7,6.0,10.0,38,38,11.813030057420567,7.640123172695364,9.359277484750553,6.946975992135418
