overall_qual,neighborhood,log_gr_liv_area,kitchen_qual,garage_cars,garage,bsmt_qual,log_1st_flr_sf,full_bath,fireplace_qu,remod_age_at_sale,age_at_sale
4,1,6.616065185132817,3,1.0,6.0,3.0,6.616065185132817,1,0.0,60,65
7,1,7.641084249174914,4,2.0,3.0,4.0,7.216709486709457,2,0.0,5,5
6,2,7.198183577101943,3,2.0,12.0,5.0,7.198183577101943,2,0.0,8,8
6,1,7.10002716662926,3,2.0,6.0,4.0,7.10002716662926,1,3.0,11,29
6,1,6.974478911025045,3,2.0,12.0,4.0,6.974478911025045,2,1.0,31,31
5,2,7.328437352895162,2,1.0,6.0,3.0,6.893656354602635,2,3.0,4,60
6,1,7.447751280047908,4,2.0,3.0,3.0,7.064759027791802,2,0.0,4,93
5,1,7.450660796211539,3,2.0,12.0,3.0,7.450660796211539,2,3.0,13,38
5,1,7.299797366758161,3,1.0,6.0,3.0,6.984716320118266,1,4.0,13,56
9,3,7.825644732219989,5,3.0,12.0,4.0,7.033506484287697,2,4.0,1,3
6,1,7.412764017426562,3,2.0,6.0,4.0,7.412764017426562,2,3.0,37,37
7,2,7.238496840894365,4,2.0,3.0,4.0,6.555356891810665,2,0.0,1,1
8,1,7.356279876550748,4,1.0,3.0,3.0,6.835184586147301,2,0.0,7,110
4,1,6.77078942390898,3,4.0,3.0,3.0,6.77078942390898,1,0.0,36,36
5,1,7.356279876550748,4,2.0,3.0,3.0,6.704414354964107,1,0.0,56,82
9,3,7.61085279039525,5,3.0,12.0,5.0,7.61085279039525,2,4.0,1,1
5,2,7.395721608602045,3,2.0,12.0,4.0,6.833031732786201,2,3.0,12,13
5,2,7.370230641807081,4,2.0,6.0,4.0,6.586171654854675,3,0.0,0,0
8,3,7.804659297056102,4,3.0,12.0,5.0,7.0317412587631285,3,4.0,1,2
8,3,7.377758908227872,4,3.0,12.0,4.0,7.377758908227872,2,4.0,2,2
7,2,7.422373700986824,4,2.0,12.0,3.0,7.422373700986824,2,3.0,7,7
7,2,7.518607216815252,4,2.0,12.0,4.0,6.892641641172089,2,3.0,7,7
5,1,7.259819610363186,3,1.0,12.0,3.0,7.259819610363186,1,3.0,29,47
6,2,6.742880635791903,4,2.0,12.0,4.0,6.742880635791903,1,0.0,5,6
7,1,7.27931883541462,3,1.0,3.0,3.0,6.593044534142437,1,0.0,43,88
8,3,7.154615356913663,4,2.0,12.0,4.0,7.154615356913663,2,0.0,16,16
6,1,7.116394144093465,3,1.0,6.0,3.0,6.410174881966167,1,3.0,57,68
